"id","source","vulnerability_id","cve","title","description","vendor","product","affected_versions","patched_versions","cpe_matches","cvss","cvss_vector","epss","kev","exploit_available","references","published","updated","content_hash","last_seen_at","embedding_status","embedding_model","embedding_updated_at"
"98ea18d8-d003-4461-be1a-b667fd35dfbc","NVD","CVE-2026-97404","CVE-2026-97404","CVE-2026-97404","In OpenStack Zaqar before 22.0.2, WSGI transport mishandles the URL-Signature header. By sending a request with an empty URL-Signature header, an unauthenticated remote attacker who knows a target project's UUID may bypass both Keystone authentication and pre-signed URL verification, resulting in the ability to read, enumerate, create, and delete that project's queues, messages, claims, and subscriptions. By additionally claiming an administrative role, the attacker may also perform administrative operations, such as managing pools and flavors in admin_mode deployments. Only deployments using the WSGI transport with an authentication strategy configured are affected; the websocket transport is not affected.",NULL,NULL,"[]","[]","[]",9.2,"CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X",NULL,False,False,"[""https://launchpad.net/bugs/2164987""]","2026-09-24 15:18:01.537+00","2026-09-24 15:18:01.537+00","1c4faa9e8da7081aa0b11d7f602487a1466f099dc5787733a9fdf64b2756123d","2026-09-24 15:46:57.219203+00","pending",NULL,NULL
"108382c0-5db1-4201-9ac2-4d6137bec917","NVD","CVE-2026-97362","CVE-2026-97362","CVE-2026-97362","HFS2 version 2.4.0 and earlier contains a denial of service vulnerability that allows unauthenticated attackers to cause a complete and persistent loss of availability by sending a single crafted request. Attackers can trigger a hung serving thread that enters a busy loop, rendering the entire file server unresponsive to all clients without self-recovery until an operator manually restarts the service.",NULL,NULL,"[]","[]","[]",8.7,"CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X",NULL,False,False,"[""https://github.com/wgetnz/hfs2/blob/master/advisories/hfs2-getini-infinite-loop-dos/README.md"", ""https://www.vulncheck.com/advisories/hfs2-unauthenticated-denial-of-service-via-hung-serving-thread""]","2026-09-24 15:18:01.393+00","2026-09-24 15:18:01.393+00","c8318e7e918a1ac4c460189bb0692ee171a387ff857f2e1b1848adc4b36ebb82","2026-09-24 15:46:57.21867+00","pending",NULL,NULL
"e3e56fd7-1131-4a68-8423-5224b8ef2e45","NVD","CVE-2026-97224","CVE-2026-97224","CVE-2026-97224","A vulnerability was detected in Excalidraw up to 0.18.1. The impacted element is an unknown function of the file packages/excalidraw/data/restore.ts of the component Imported File Handler. Performing a manipulation of the argument customData.generationData.html results in cross site scripting. The attack is possible to be carried out remotely. The exploit is now public and may be used. The vendor was contacted early about this disclosure but did not respond in any way.",NULL,NULL,"[]","[]","[]",2.1,"CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N/E:P/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X",NULL,False,False,"[""https://vuldb.com/cve/CVE-2026-97224"", ""https://vuldb.com/submit/907811"", ""https://vuldb.com/vuln/409318"", ""https://vuldb.com/vuln/409318/cti""]","2026-09-24 15:18:01.227+00","2026-09-24 15:18:01.227+00","e71f2f8359aaa13bfea2ff16e1ca9e72cc76b93a8deb920ff5c4e50b605eac81","2026-09-24 15:46:57.218104+00","pending",NULL,NULL
"9d23d921-0d09-44eb-8740-d9fc5f4242aa","NVD","CVE-2026-90959","CVE-2026-90959","CVE-2026-90959","A path traversal vulnerability was found in pulpcore. The content upload API accepts a 'file_url' parameter that allows users with file repository privileges to specify a local file URL for Pulp to download and store. A URL scheme validation check uses a string prefix comparison that only rejects URLs beginning with 'file://', but Python's URL parser recognizes the 'file:' scheme without double slashes, creating a mismatch between what is validated and what is dispatched to the file downloader. An authenticated user with low-privilege repository permissions can supply a specially crafted URL using relative path traversal sequences to read any file accessible to the Pulp server process. In deployments that include Pulp Container, successful exploitation allows an attacker to read the container registry token signing private key and forge bearer tokens, granting unauthorized access to all private container repositories in the affected registry.",NULL,NULL,"[]","[]","[]",8.1,"CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N",NULL,False,False,"[""https://access.redhat.com/security/cve/CVE-2026-90959"", ""https://bugzilla.redhat.com/show_bug.cgi?id=2533037""]","2026-09-24 15:17:53.54+00","2026-09-24 15:17:53.54+00","467bc3e300b314d8af524af26c34576691552f1ca11fbeb9154cb6920d053db3","2026-09-24 15:46:57.21748+00","pending",NULL,NULL
"3b778110-545f-40b6-aa83-2a8fd9fa9705","NVD","CVE-2026-90481","CVE-2026-90481","CVE-2026-90481","In PortSwigger Burp Suite DAST (formerly Burp Suite Enterprise Edition) before 2026.8, an authentication bypass can occur via an alternate path or channel.",NULL,NULL,"[]","[]","[]",9.2,"CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:H/VI:H/VA:H/SC:L/SI:L/SA:L/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X",NULL,False,False,"[""https://portswigger.net/burp/releases/dast-2026-8""]","2026-09-24 15:17:51.76+00","2026-09-24 15:17:51.76+00","9483093e7df251f9054c0d92c2187add78525f16225ffcfeeccfdcde1b1563c8","2026-09-24 15:46:57.216955+00","pending",NULL,NULL
"33c19129-f086-4ee7-a5c2-e4b43632d1ce","NVD","CVE-2026-88351","CVE-2026-88351","CVE-2026-88351","An integer overflow vulnerability exists in the MPack Node API in MPack 1.1.1 on 32-bit platforms. When parsing a specially crafted MessagePack array32 or map32 object with an excessively large element count, the page allocation size calculation in mpack_tree_parse_children() can overflow size_t and produce an undersized allocation. Subsequent parsing writes mpack_node_data_t records beyond the allocated heap buffer, resulting in heap-buffer-overflow, memory corruption, and denial of service.",NULL,NULL,"[]","[]","[]",NULL,NULL,NULL,False,False,"[""https://github.com/ludocode/mpack/commit/3d54d1215bdb5478d3ddecaf85884c58b382cd9b"", ""https://github.com/ludocode/mpack/issues/123""]","2026-09-24 15:17:50.423+00","2026-09-24 15:17:50.423+00","d3779de1aad04b19107af2fd236fd6e12f71bd512a5ff198be99bbad46b77d0f","2026-09-24 15:46:57.216428+00","pending",NULL,NULL
"fea416c9-126f-4437-b613-94d8b2163486","NVD","CVE-2026-82094","CVE-2026-82094","CVE-2026-82094","IBM DataStage on Cloud Pak for Data 5.4.0.0 could allow a remote authenticated attacker to traverse directories on the system due to improper limitation of a pathname to a restricted directory.",NULL,NULL,"[]","[]","[]",7.1,"CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:N/I:H/A:L",NULL,False,False,"[""https://www.ibm.com/support/pages/node/7288649""]","2026-09-24 15:17:40.87+00","2026-09-24 15:17:40.87+00","5550b4d424545269f5b8c0cd980ffa8bc9c252c08ce2b2cc04a29d9dab0bd59c","2026-09-24 15:46:57.215887+00","pending",NULL,NULL
"81319c28-4e72-4887-a95b-be7837f43d9f","NVD","CVE-2026-82093","CVE-2026-82093","CVE-2026-82093","IBM DataStage on Cloud Pak for Data 5.4.0.0 could allow a remote authenticated attacker to execute arbitrary code due to unsafe deserialization of untrusted data.",NULL,NULL,"[]","[]","[]",8.8,"CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",NULL,False,False,"[""https://www.ibm.com/support/pages/node/7288649""]","2026-09-24 15:17:40.733+00","2026-09-24 15:17:40.733+00","c1e17af3a1ed52b08bd9fdc89715b6ee313b04ef8e4afebda18b8a378570d908","2026-09-24 15:46:57.21533+00","pending",NULL,NULL
"beefd855-cddc-4acd-a2c0-420fd57f5ef4","NVD","CVE-2026-81552","CVE-2026-81552","CVE-2026-81552","IBM DataStage on Cloud Pak for Data 5.4.0.0 could allow a remote authenticated attacker to execute arbitrary commands due to improper neutralization of environment variables.",NULL,NULL,"[]","[]","[]",8.8,"CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",NULL,False,False,"[""https://www.ibm.com/support/pages/node/7288649""]","2026-09-24 15:17:40.02+00","2026-09-24 15:17:40.02+00","f9b2500d1d4c4ba864a00b4ad776fcc4020e40d26edb3045e832e29951141e9c","2026-09-24 15:46:57.214715+00","pending",NULL,NULL
"56aff848-3f70-47d3-8644-d891806d5c46","NVD","CVE-2026-81549","CVE-2026-81549","CVE-2026-81549","IBM DataStage on Cloud Pak for Data 5.4.0.0 could allow a remote authenticated attacker to obtain sensitive information due to improper validation of the X-Forwarded-Proto header.",NULL,NULL,"[]","[]","[]",9.6,"CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:N",NULL,False,False,"[""https://www.ibm.com/support/pages/node/7288649""]","2026-09-24 15:17:39.897+00","2026-09-24 15:17:39.897+00","16ebe1ec6fa2bd83db1e11139d9401d20efc15d4ab805a1f3254df0c76ddb620","2026-09-24 15:46:57.214192+00","pending",NULL,NULL
